,num_tokens,num_chars,longest_message_toks,shortest_message_toks,longest_message_chars,shortest_message_chars
1131886670,407450,1912997,86,1,462,0
1132041485,1,0,1,1,0,0
1132041486,1089,8356,40,1,240,0
1132291094,665,5556,27,1,144,0
1132907592,74902,322438,71,1,306,0
1132929361,2158,16913,32,1,240,0
1133408875,289,2274,19,1,171,0
11338271,1,0,1,1,0,0
1134799716,97427,431318,84,1,361,0
1135765010,95622,431420,48,1,360,0
1136652561,12,56,4,1,30,0
1136653369,12519,55438,72,1,219,0
1136665862,6259,25048,31,1,116,0
1136669470,245138,1140986,92,1,432,0
1136687050,188939,853681,102,1,312,0
1137590262,87860,370514,84,1,301,0
113785572,79499,356573,69,1,200,0
113849198,4339,18705,46,1,185,0
1138605708,64365,283465,68,1,360,0
113898339,1814,6963,45,1,175,0
1139598020,109209,488027,79,1,280,0
114004264,68449,309248,110,1,329,0
114078765,3088,11718,41,1,165,0
114219398,75108,332562,56,1,210,0
114304249,2608,10610,29,1,124,0
114438934,49961,222853,53,1,180,0
114507514,6,24,6,6,24,0
114507769,2124,8673,25,1,114,0
114689004,66680,287800,59,1,213,0
114774186,13984,54303,46,1,180,0
114913927,83396,361953,48,1,175,0
115098627,74,351,21,1,84,0
115239115,2683,10222,30,1,148,0
115249632,125630,571064,90,1,403,0
115340480,194786,864250,187,1,294,0
115551961,161547,707684,64,1,304,0
1155878473,1,0,1,1,0,0
1155878474,101032,437020,60,1,285,0
115611368,261,1146,33,1,111,0
115632627,16510,69217,48,1,199,0
115681960,70385,320439,94,1,422,0
115689268,922,3332,24,1,93,0
115772634,145792,656948,76,1,240,0
115774792,84,339,12,1,44,0
115778306,4,21,2,1,10,0
115779298,7532,31701,39,1,178,0
115785500,1953,7708,47,1,164,0
115789501,5570,24091,63,1,260,0
115801391,29,116,5,1,20,0
115814417,325151,1494724,56,1,208,0
115899240,32686,141023,72,1,324,0
115992953,223,846,18,1,71,0
115995374,9881,41942,71,1,207,0
116002679,43578,188792,67,1,259,0
116034820,256240,1060801,52,1,348,0
116198042,41048,171038,89,1,265,0
116230607,94900,427821,52,1,225,0
116248207,1646,6268,33,1,128,0
116280476,142281,636579,66,1,176,0
116463946,26740,114060,59,1,224,0
116495145,133795,606618,57,1,225,0
11669214,1,0,1,1,0,0
